T,K,side,iv
0.020283517373311025,685.0,call,0.4166928448486328
0.020283517373311025,700.0,call,0.33765310791015624
0.020283517373311025,705.0,call,0.31201859863281245
0.020283517373311025,710.0,call,0.28766581481933584
0.020283517373311025,720.0,call,0.21131159790039059
0.020283517373311025,725.0,call,0.21930712341308595
0.020283517373311025,730.0,call,0.20313296874999998
0.020283517373311025,735.0,call,0.18811847045898436
0.020283517373311025,740.0,call,0.15015498291015628
0.020283517373311025,745.0,call,0.14078618011474608
0.020283517373311025,750.0,call,0.13221082641601564
0.020283517373311025,755.0,call,0.1247035772705078
0.020283517373311025,760.0,call,0.11811184631347656
0.020283517373311025,765.0,call,0.1128018408203125
0.020283517373311025,675.0,put,0.2963937548828125
0.020283517373311025,680.0,put,0.28125718749999995
0.020283517373311025,685.0,put,0.26538820556640624
0.020283517373311025,690.0,put,0.2512281909179687
0.020283517373311025,695.0,put,0.23780059082031246
0.020283517373311025,700.0,put,0.22510540527343748
0.020283517373311025,705.0,put,0.213875048828125
0.020283517373311025,710.0,put,0.20294986511230467
0.020283517373311025,715.0,put,0.19312330322265625
0.020283517373311025,720.0,put,0.18433432861328125
0.020283517373311025,725.0,put,0.17615569946289064
0.020283517373311025,730.0,put,0.1680991394042969
0.020283517373311025,735.0,put,0.1609275802612305
0.020283517373311025,740.0,put,0.15387809020996096
0.020283517373311025,745.0,put,0.17551483673095702
0.020283517373311025,750.0,put,0.17237155761718753
0.020283517373311025,755.0,put,0.17487397399902344
0.020283517373311025,760.0,put,0.18457846679687498
0.020283517373311025,765.0,put,0.20117986328124998
0.03123492052183943,505.0,call,0.999023447265625
0.03123492052183943,510.0,call,0.9841310180664062
0.03123492052183943,520.0,call,0.9335944140625
0.03123492052183943,525.0,call,0.9165047412109376
0.03123492052183943,530.0,call,0.8881847119140623
0.03123492052183943,535.0,call,0.8728040063476561
0.03123492052183943,560.0,call,0.7697776928710938
0.03123492052183943,570.0,call,0.7324245507812499
0.03123492052183943,575.0,call,0.6435582519531251
0.03123492052183943,580.0,call,0.6867707104492189
0.03123492052183943,590.0,call,0.6523472265625001
0.03123492052183943,595.0,call,0.6279334082031252
0.03123492052183943,600.0,call,0.6137733935546876
0.03123492052183943,610.0,call,0.5747112841796875
0.03123492052183943,615.0,call,0.5556685058593751
0.03123492052183943,625.0,call,0.5127001855468749
0.03123492052183943,630.0,call,0.594730615234375
0.03123492052183943,635.0,call,0.569340244140625
0.03123492052183943,640.0,call,0.5396774548339844
0.03123492052183943,645.0,call,0.5288743402099609
0.03123492052183943,650.0,call,0.5062305236816407
0.03123492052183943,655.0,call,0.4840139489746094
0.03123492052183943,660.0,call,0.45715874877929696
0.03123492052183943,665.0,call,0.4409235595703125
0.03123492052183943,670.0,call,0.4171811212158203
0.03123492052183943,675.0,call,0.39722282470703124
0.03123492052183943,680.0,call,0.370123486328125
0.03123492052183943,685.0,call,0.3493717407226562
0.03123492052183943,690.0,call,0.3034737622070312
0.03123492052183943,695.0,call,0.30927204406738285
0.03123492052183943,700.0,call,0.29041236938476556
0.03123492052183943,701.0,call,0.2868113311767577
0.03123492052183943,702.0,call,0.28314925842285155
0.03123492052183943,703.0,call,0.27973132385253896
0.03123492052183943,704.0,call,0.2763133892822265
0.03123492052183943,705.0,call,0.2727733856201171
0.03123492052183943,706.0,call,0.2695385546875
0.03123492052183943,707.0,call,0.26618165466308596
0.03123492052183943,708.0,call,0.2627637200927735
0.03123492052183943,709.0,call,0.2595899237060547
0.03123492052183943,710.0,call,0.2563550927734375
0.03123492052183943,711.0,call,0.25299819274902346
0.03123492052183943,712.0,call,0.24988543090820312
0.03123492052183943,713.0,call,0.24665059997558597
0.03123492052183943,714.0,call,0.24362938995361327
0.03123492052183943,715.0,call,0.24048611083984373
0.03123492052183943,716.0,call,0.23401644897460935
0.03123492052183943,717.0,call,0.2312393771362305
0.03123492052183943,718.0,call,0.2283402362060547
0.03123492052183943,719.0,call,0.225593681640625
0.03123492052183943,720.0,call,0.22272505798339842
0.03123492052183943,721.0,call,0.21900195068359374
0.03123492052183943,722.0,call,0.21656056884765623
0.03123492052183943,723.0,call,0.2142107388305664
0.03123492052183943,724.0,call,0.21192194335937498
0.03123492052183943,725.0,call,0.20948056152343747
0.03123492052183943,726.0,call,0.20771055969238278
0.03123492052183943,727.0,call,0.20533021240234373
0.03123492052183943,728.0,call,0.20337710693359373
0.03123492052183943,729.0,call,0.2010577941894531
0.03123492052183943,730.0,call,0.18140467041015623
0.03123492052183943,731.0,call,0.19702951416015624
0.03123492052183943,732.0,call,0.1946796841430664
0.03123492052183943,733.0,call,0.19272657867431642
0.03123492052183943,734.0,call,0.1909260595703125
0.03123492052183943,735.0,call,0.1676108630371094
0.03123492052183943,736.0,call,0.1749960430908203
0.03123492052183943,737.0,call,0.1855855368041992
0.03123492052183943,738.0,call,0.1779257012939453
0.03123492052183943,739.0,call,0.16358258300781253
0.03123492052183943,740.0,call,0.15769274932861327
0.03123492052183943,741.0,call,0.1563805065917969
0.03123492052183943,742.0,call,0.15473257385253908
0.03123492052183943,743.0,call,0.15332877929687502
0.03123492052183943,744.0,call,0.15174188110351564
0.03123492052183943,745.0,call,0.15015498291015628
0.03123492052183943,746.0,call,0.14859860198974612
0.03123492052183943,747.0,call,0.14719480743408203
0.03123492052183943,748.0,call,0.14563842651367187
0.03123492052183943,749.0,call,0.14402101104736326
0.03123492052183943,750.0,call,0.14258669921875
0.03123492052183943,751.0,call,0.14112187011718752
0.03123492052183943,752.0,call,0.139657041015625
0.03123492052183943,753.0,call,0.13816169464111328
0.03123492052183943,754.0,call,0.13660531372070314
0.03123492052183943,755.0,call,0.13526255371093754
0.03123492052183943,756.0,call,0.13367565551757812
0.03123492052183943,757.0,call,0.13227186096191407
0.03123492052183943,758.0,call,0.13092910095214844
0.03123492052183943,759.0,call,0.12952530639648438
0.03123492052183943,760.0,call,0.12848771911621093
0.03123492052183943,761.0,call,0.12720599365234375
0.03123492052183943,762.0,call,0.125985302734375
0.03123492052183943,763.0,call,0.12494771545410156
0.03123492052183943,764.0,call,0.12366598999023437
0.03123492052183943,765.0,call,0.12268943725585937
0.03123492052183943,766.0,call,0.12195702270507813
0.03123492052183943,767.0,call,0.12122460815429686
0.03123492052183943,768.0,call,0.12049219360351562
0.03123492052183943,769.0,call,0.11975977905273436
0.03123492052183943,770.0,call,0.11914943359374999
0.03123492052183943,771.0,call,0.1186611572265625
0.03123492052183943,772.0,call,0.11853908813476563
0.03123492052183943,773.0,call,0.11792874267578124
0.03123492052183943,774.0,call,0.11792874267578124
0.03123492052183943,775.0,call,0.11841701904296875
0.03123492052183943,779.0,call,0.1211025390625
0.03123492052183943,781.0,call,0.12476461181640625
0.03123492052183943,782.0,call,0.12549702636718751
0.03123492052183943,510.0,put,0.6875031250000001
0.03123492052183943,525.0,put,0.6601596484375001
0.03123492052183943,530.0,put,0.6445348046875
0.03123492052183943,540.0,put,0.6191444335937502
0.03123492052183943,550.0,put,0.6015664843750002
0.03123492052183943,555.0,put,0.584965087890625
0.03123492052183943,560.0,put,0.5742230078125
0.03123492052183943,565.0,put,0.5634809277343751
0.03123492052183943,570.0,put,0.55273884765625
0.03123492052183943,575.0,put,0.5361374511718751
0.03123492052183943,580.0,put,0.524418818359375
0.03123492052183943,585.0,put,0.5117236328125
0.03123492052183943,590.0,put,0.5009815527343751
0.03123492052183943,595.0,put,0.48828636718750007
0.03123492052183943,600.0,put,0.47510290527343746
0.03123492052183943,605.0,put,0.46143116699218756
0.03123492052183943,610.0,put,0.44775942871093743
0.03123492052183943,615.0,put,0.43408769042968753
0.03123492052183943,620.0,put,0.41992767578125
0.03123492052183943,625.0,put,0.4057676611328125
0.03123492052183943,630.0,put,0.39160764648437496
0.03123492052183943,635.0,put,0.37915659912109373
0.03123492052183943,640.0,put,0.36426416992187505
0.03123492052183943,645.0,put,0.3513248461914062
0.03123492052183943,650.0,put,0.33618827880859375
0.03123492052183943,655.0,put,0.3225165405273437
0.03123492052183943,660.0,put,0.30982135498046875
0.03123492052183943,665.0,put,0.2966378930664062
0.03123492052183943,670.0,put,0.28394270751953116
0.03123492052183943,675.0,put,0.27075924560546877
0.03123492052183943,680.0,put,0.25879647460937505
0.03123492052183943,685.0,put,0.24732197998046873
0.03123492052183943,690.0,put,0.23596955444335935
0.03123492052183943,695.0,put,0.22571575073242187
0.03123492052183943,700.0,put,0.21613332702636717
0.03123492052183943,701.0,put,0.21448539428710936
0.03123492052183943,702.0,put,0.21277642700195312
0.03123492052183943,703.0,put,0.21094539062499998
0.03123492052183943,704.0,put,0.2089312506103515
0.03123492052183943,705.0,put,0.20728331787109372
0.03123492052183943,706.0,put,0.20587952331542966
